WKT,nid,parent_nid,name,serial,type,latitude,longitude,status
"POINT (114.3669444 -8.2186111)",821.0,15.0,Kabupaten Banyuwangi,1501.0,2.0,-8.2186111,114.3669444,1.0
"POINT (111.618375 -7.609331)",823.0,15.0,Kabupaten Madiun,1502.0,2.0,-7.609331,111.618375,1.0
"POINT (111.466003 -7.867827)",824.0,15.0,Kabupaten Ponorogo,1503.0,2.0,-7.867827,111.466003,1.0
"POINT (111.3252042 -7.657454)",825.0,15.0,Kabupaten Magetan,1504.0,2.0,-7.6493413,111.3381593,1.0
"POINT (111.08769 -8.204614)",826.0,15.0,Kabupaten Pacitan,1505.0,2.0,-8.204614,111.08769,1.0
"POINT (111.4316752 -7.4062723)",827.0,15.0,Kabupaten Ngawi,1506.0,2.0,-7.38993,111.46193,1.0
"POINT (112.7450068 -7.0306912)",828.0,15.0,Kabupaten Bangkalan,1507.0,2.0,-7.0306912,112.7450068,1.0
"POINT (112.190712 -7.82324)",829.0,15.0,Kabupaten Kediri,1508.0,2.0,-7.82324,112.190712,1.0
"POINT (113.813483 -7.917704)",830.0,15.0,Kabupaten Bondowoso,1509.0,2.0,-7.917704,113.813483,1.0
"POINT (112.220009 -8.130866)",831.0,15.0,Kabupaten Blitar,1510.0,2.0,-8.130866,112.220009,1.0
"POINT (111.7228129 -8.0818131)",832.0,15.0,Kabupaten Trenggalek,1511.0,2.0,-8.05,111.7166667,1.0
"POINT (111.9590189 -8.0954093)",833.0,15.0,Kabupaten Tulungagung,1512.0,2.0,-8.0666667,111.9,1.0
"POINT (111.901808 -7.602932)",834.0,15.0,Kabupaten Nganjuk,1513.0,2.0,-7.602932,111.901808,1.0
"POINT (114.0059762 -7.7066167)",835.0,15.0,Kabupaten Situbondo,1514.0,2.0,-7.702534,113.955605,1.0
"POINT (112.6884549 -8.0495643)",836.0,15.0,Kabupaten Malang,1515.0,2.0,-8.0495643,112.6884549,1.0
"POINT (113.700302 -8.172357)",837.0,15.0,Kabupaten Jember,1516.0,2.0,-8.172357,113.700302,1.0
"POINT (113.8485924 -7.0153672)",838.0,15.0,Kabupaten Sumenep,1517.0,2.0,-6.9253999,113.9060624,1.0
"POINT (112.858217 -7.785996)",839.0,15.0,Kabupaten Pasuruan,1518.0,2.0,-7.785996,112.858217,1.0
"POINT (113.4666667 -7.1666667)",840.0,15.0,Kabupaten Pamekasan,1519.0,2.0,-7.1666667,113.4666667,1.0
"POINT (113.3 -7.85)",841.0,15.0,Kabupaten Probolinggo,1520.0,2.0,-7.85,113.3,1.0
"POINT (113.226601 -8.137022)",842.0,15.0,Kabupaten Lumajang,1521.0,2.0,-8.137022,113.226601,1.0
"POINT (111.80833 -7.25)",843.0,15.0,Kabupaten Bojonegoro,1522.0,2.0,-7.25,111.80833,1.0
"POINT (112.029752 -6.895485)",844.0,15.0,Kabupaten Tuban,1523.0,2.0,-6.895485,112.029752,1.0
"POINT (112.414963 -7.121834)",845.0,15.0,Kabupaten Lamongan,1524.0,2.0,-7.121834,112.414963,1.0
"POINT (112.7005236 -7.4502269)",846.0,15.0,Kabupaten Sidoarjo,1525.0,2.0,-7.4530278,112.7173389,1.0
"POINT (113.239445 -7.040233)",847.0,15.0,Kabupaten Sampang,1526.0,2.0,-7.040233,113.239445,1.0
"POINT (112.48333 -7.55)",848.0,15.0,Kabupaten Mojokerto,1527.0,2.0,-7.55,112.48333,1.0
"POINT (112.6555 -7.15665)",849.0,15.0,Kabupaten Gresik,1528.0,2.0,-7.15665,112.6555,1.0
"POINT (112.28609 -7.574087)",850.0,15.0,Kabupaten Jombang,1529.0,2.0,-7.574087,112.28609,1.0
"POINT (112.440133 -7.470475)",851.0,15.0,Kota Mojokerto,1530.0,2.0,-7.470475,112.440133,1.0
"POINT (112.7510754 -7.2595902)",852.0,15.0,Kota Surabaya,1531.0,2.0,-7.289166,112.734398,1.0
"POINT (111.530016 -7.631059)",853.0,15.0,Kota Madiun,1532.0,2.0,-7.631059,111.530016,1.0
"POINT (112.167682 -8.1014651)",854.0,15.0,Kota Blitar,1533.0,2.0,-8.1014651,112.167682,1.0
"POINT (112.6317407 -7.9664975)",855.0,15.0,Kota Malang,1534.0,2.0,-7.981894,112.626503,1.0
"POINT (112.5286975 -7.8838963)",856.0,15.0,Kota Batu,1535.0,2.0,-7.8671,112.5239,1.0
"POINT (112.903297 -7.644872)",857.0,15.0,Kota Pasuruan,1536.0,2.0,-7.644872,112.903297,1.0
"POINT (112.0106492 -7.8273848)",858.0,15.0,Kota Kediri,1537.0,2.0,-7.8273848,112.0106492,1.0
"POINT (113.2004478 -7.7759777)",859.0,15.0,Kota Probolinggo,1538.0,2.0,-7.756928,113.211502,1.0
